Song,Artist
Amber,311
Beautiful Disaster,311
Down,311
Caught Up in You,.38 Special
Here Without You,3 Doors Down
Kryptonite,3 Doors Down
When I'm Gone,3 Doors Down
When You're Young,3 Doors Down
Attack,30 Seconds to Mars
Closer to the Edge,30 Seconds to Mars
Rescue Me,30 Seconds to Mars
The Kill,30 Seconds to Mars
This Is War,30 Seconds to Mars
What's Up?,4 Non Blondes
She Looks So Perfect,5 Seconds Of Summer
All I Want,A Day to Remember
Better Off This Way,A Day To Remember
"I'm Made of Wax, Larry, What Are You Made Of?",A Day to Remember
If It Means a Lot to You,A Day to Remember
It's Complicated,A Day To Remember
Mindreader,A Day to Remember
Paranoia,A Day to Remember
Resentment,A Day to Remember
Sticks & Bricks,A Day To Remember
The Downfall of Us All,A Day to Remember
The Plot To Bomb The Panhandle,A Day To Remember
Take On Me,a-ha
Back in Black,AC/DC
Dirty Deeds Done Dirt Cheap,AC/DC
Fire Your Guns,AC/DC
For Those About To Rock (We Salute You),AC/DC
Heatseeker,AC/DC
Hell Ain't A Bad Place To Be,AC/DC
Hells Bells,AC/DC
High Voltage,AC/DC
Highway To Hell,AC/DC
Jailbreak,AC/DC
Let There Be Rock,AC/DC
Moneytalks,AC/DC
Shoot To Thrill,AC/DC
Shot in the Dark,AC/DC
T.N.T.,AC/DC
The Jack,AC/DC
Thunderstruck,AC/DC
Whole Lotta Rosie,AC/DC
You Shook Me All Night Long,AC/DC
All That She Wants,Ace of Base
The Sign,Ace of Base
Hair Trigger,Acro-Brats
Angel,Aerosmith
Back in the Saddle,Aerosmith
Crazy,Aerosmith
Cryin',Aerosmith
Dream On (Live),Aerosmith
Dude (Looks Like a Lady),Aerosmith
Eat the Rich,Aerosmith
I Don't Want to Miss a Thing,Aerosmith
Janie's Got a Gun,Aerosmith
Legendary Child,Aerosmith
Livin' on the Edge,Aerosmith
Love in an Elevator,Aerosmith
Lover Alot,Aerosmith
Rag Doll,Aerosmith
Rats in the Cellar,Aerosmith
Seasons of Wither,Aerosmith
Sweet Emotion,Aerosmith
Toys in the Attic,Aerosmith
Train Kept A-Rollin',Aerosmith
Walk This Way,Aerosmith
Beautiful Thieves,AFI
End Transmission,AFI
Far Too Near,AFI
Love Like Winter,AFI
Medicate,AFI
Miss Murder,AFI
The Leaving Song Pt. II,AFI
Thrash Unreal,Against Me!
Bang!,AJR
Way Less Sad,AJR
Sober Up,AJR feat. Rivers Cuomo
You Oughta Know,Alanis Morissette
Shipwrecked,Alestorm
Feed My Frankenstein,Alice Cooper
Check My Brain,Alice in Chains
Down in a Hole,Alice in Chains
Man in the Box,Alice in Chains
No Excuses,Alice in Chains
Rooster,Alice in Chains
Them Bones,Alice in Chains
Would?,Alice in Chains
Mercy Me,Alkaline Trio
Two Weeks,All That Remains
What If I Was Nothing,All That Remains
"Dear Maria, Count Me In",All Time Low
Some Kind of Disaster,All Time Low
Weightless,All Time Low
Monsters,All Time Low ft. Blackbear
Dirty Little Secret,All-American Rejects
Gives You Hell,All-American Rejects
Gonzo,All-American Rejects
Kids in the Street,All-American Rejects
Move Along,All-American Rejects
Real World,All-American Rejects
"Swing, Swing",All-American Rejects
Rehab,Amy Winehouse
Collide,Anarchy Club
Feel Good Drag,Anberlin
Euphoria,Angels & Airwaves
It Hurts,Angels & Airwaves
Sink,Animal Flag
Caught in a Mosh,Anthrax
Animals,Architects
Learn to Live,Architects
When We Were Young,Architects
Arabella,Arctic Monkeys
R U Mine?,Arctic Monkeys
Respect ,Aretha Franklin
Heat of the Moment,Asia
Antisocialist,Asking Alexandria
Open Water,Assuming We Survive
One Armed Scissor,At the Drive-In
Like a Stone,Audioslave
Afterlife,Avenged Sevenfold
Bat Country,Avenged Sevenfold
Beast and the Harlot,Avenged Sevenfold
Critical Acclaim,Avenged Sevenfold
God Damn,Avenged Sevenfold
Hail to the King,Avenged Sevenfold
Nightmare,Avenged Sevenfold
Nobody,Avenged Sevenfold
Scream,Avenged Sevenfold
Seize the Day,Avenged Sevenfold
Shepherd of Fire,Avenged Sevenfold
So Far Away,Avenged Sevenfold
The Stage,Avenged Sevenfold
Unholy Confessions,Avenged Sevenfold
Welcome to the Family,Avenged Sevenfold
Complicated,Avril Lavigne
My Happy Ending,Avril Lavigne
What the Hell,Avril Lavigne
Sk8er Boi,Avril Lavigne 
Love It When You Hate Me,Avril Lavigne (Featuring Blackbear)
Takin' Care of Business,Bachman–Turner Overdrive
Bad Company,Bad Company
Just Pretend ,Bad Omens
Sorrow,Bad Religion
Killing Me Slowly,Bad Wolves
No One's Gonna Love You,Band of Horses
The Funeral,Band of Horses
I Know What I Am,Band of Skulls
Blood Red Rock,Bang Camaro
Shadowbang (Head),Bang on a Can All-Stars
Someone to You,BANNERS
Thinking Emoji,Barely March
One Week,Barenaked Ladies
Promise Everything,Basement
Pompeii,Bastille
"Sick, Sick, Sick",Bayside
Prom Queen,Beach Bunny
Shadow,Bearstronaut
I Won't Give It Up,Beartooth
Fight for Your Right,Beastie Boys
No Sleep till Brooklyn,Beastie Boys
Sabotage,Beastie Boys
Devil's Haircut,Beck
Saw Lightning,Beck
Sexx Laws,Beck
Stayin' Alive,Bee Gees
Tragedy,Bee Gees
Heaven Is a Place on Earth,Belinda Carlisle
Blood for the Blood God,Ben Quad
Violent Shiver,Benjamin Booker
These Hands,Bent Knee
In a Big Country,Big Country
Bad Guy,Billie Eilish
I Think We're Alone Now,Billie Joe Armstrong
Rebel Yell,Billy Idol
White Wedding (Part 1),Billy Idol
Big Shot,Billy Joel
I Go to Extremes,Billy Joel
It's Still Rock and Roll to Me,Billy Joel
Miami 2017 (Seen the Lights Go Out on Broadway),Billy Joel
Movin' Out (Anthony's Song),Billy Joel
My Life,Billy Joel
Only the Good Die Young,Billy Joel
Piano Man,Billy Joel
Prelude,Billy Joel
Pressure,Billy Joel
Say Goodbye to Hollywood,Billy Joel
Scenes from an Italian Restaurant,Billy Joel
She's Always a Woman,Billy Joel
The Entertainer,Billy Joel
The Stranger,Billy Joel
Uptown Girl,Billy Joel
We Didn't Start the Fire,Billy Joel
You May Be Right,Billy Joel
No Place for Me,Black Beach
Rebel Love Song,Black Veil Brides
Pack of Smokes,Blame It On Whitman
Some1Else,Blame It On Whitman
"Hey Baby, Here's That Song You Wanted",Blessthefall
No Rain,Blind Melon
Blame It On My Youth,Blink 182
Adam's Song,Blink-182
Aliens Exist,Blink-182
All the Small Things,Blink-182
Always,Blink-182
Anthem Part Two,Blink-182
Bored to Death,Blink-182
Dammit,Blink-182
Down,Blink-182
Feeling This,Blink-182
First Date,Blink-182
I Miss You,Blink-182
Stay Together for the Kids,Blink-182
The Party Song,Blink-182
The Rock Show,Blink-182
Up All Night,Blink-182
What's My Age Again?,Blink-182
Call Me,Blondie
Dreaming ,Blondie
Hanging on the Telephone,Blondie
Heart of Glass,Blondie
The Bad Touch,Bloodhound Gang
I Like You,Bloods & Laura Jane Grace
(Don't Fear) The Reaper,Blue Öyster Cult
Burnin' for You,Blue Öyster Cult
Godzilla,Blue Öyster Cult
Hooked on a Feeling,Blue Swede
Hook,Blues Traveler
Run-Around,Blues Traveler
Song 2,Blur
"Get Up, Stand Up",Bob Marley and the Wailers
Bad Medicine,Bon Jovi
Blaze of Glory,Bon Jovi
Born Again Tomorrow,Bon Jovi
Have a Nice Day,Bon Jovi
I'll Be There for You,Bon Jovi
It's My Life,Bon Jovi
Lay Your Hands On Me,Bon Jovi
Livin' on a Prayer,Bon Jovi
Runaway,Bon Jovi
Wanted Dead or Alive,Bon Jovi
We Weren't Born to Follow,Bon Jovi
Who Says You Can't Go Home,Bon Jovi
You Give Love a Bad Name,Bon Jovi
Total Eclipse of the Heart,Bonnie Tyler
Electric Love,BØRNS
Foreplay/Long Time,Boston
Hitch a Ride,Boston
More Than a Feeling,Boston
Peace of Mind,Boston
Rock and Roll Band,Boston
Smokin',Boston
Something About You,Boston
The Great Escape,Boys Like Girls
Thunder,Boys Like Girls
Start a Band,Brad Paisley ft. Keith Urban
Mainstream Kid,Brandi Carlile
Breath,Breaking Benjamin
Failure,Breaking Benjamin
So Cold,Breaking Benjamin
Sooner or Later,Breaking Benjamin
The Diary of Jane,Breaking Benjamin
Torn in Two,Breaking Benjamin
Tourniquet,Breaking Benjamin
Until the End,Breaking Benjamin
Far Away,Breaking Benjamin feat. Scooter Ward of COLD
DiE4u,Bring Me the Horizon
Drown,Bring Me the Horizon
Happy Song,Bring Me the Horizon
Mantra,Bring Me the Horizon
Sugar Honey Ice & Tea,Bring Me the Horizon
Throne,Bring Me the Horizon
24K Magic,Bruno Mars
Locked Out of Heaven,Bruno Mars
Marry You,Bruno Mars
Treasure,Bruno Mars
Summer of '69,Bryan Adams
Rescue Me,Buckcherry
Scream Aim Fire,Bullet for My Valentine
Tears Don't Fall,Bullet for My Valentine
Waking the Demon,Bullet for My Valentine
Your Betrayal,Bullet for My Valentine
Glycerine,Bush
Machinehead,Bush
Comfort Eagle,Cake
I Will Survive,Cake
Short Skirt/Long Jacket,Cake
Tailspin,Calling All Captains
Safe and Sound,Capital Cities
Kung Fu Fighting,Carl Douglas
Call Me Maybe,Carly Rae Jepsen
Attention,Charlie Puth
Dream Police,Cheap Trick
I Want You to Want Me (Live),Cheap Trick
Surrender (Live),Cheap Trick
Face to the Floor,Chevelle
Self Destructor,Chevelle
Send the Pain Below,Chevelle
The Red,Chevelle
25 or 6 to 4,Chicago
Caves,Chiodos
"I Didn't Say I Was Powerful, I Said I Was a Wizard",Chiodos
Johnny B. Goode,Chuck Berry
Tubthumping,Chumbawamba
Graffiti,Chvrches
The Mother We Share,Chvrches
The Difference Between Medicine & Poison,Circa Survive
You Make Me Feel,Cobra Starship
The Running Free,Coheed and Cambria
Welcome Home,Coheed and Cambria
Adventure of a Lifetime,Coldplay
Champion of the World,Coldplay
Clocks,Coldplay
Every Teardrop Is a Waterfall,Coldplay
Fix You,Coldplay
Hymn for the Weekend,Coldplay
Orphans,Coldplay
Paradise,Coldplay
Shiver,Coldplay
Speed of Sound,Coldplay
The Scientist,Coldplay
Viva la Vida,Coldplay
Yellow,Coldplay
Shine,Collective Soul
Brick House,Commodores
Accidentally in Love,Counting Crows
Mr. Jones,Counting Crows
History Repeats,Creaturos
Higher,Creed
With Arms Wide Open,Creed
Bad Moon Rising,Creedence Clearwater Revival
Born on the Bayou,Creedence Clearwater Revival
Down on the Corner,Creedence Clearwater Revival
Fortunate Son,Creedence Clearwater Revival
Fortunate Son (Original Version),Creedence Clearwater Revival
Green River,Creedence Clearwater Revival
Have You Ever Seen the Rain?,Creedence Clearwater Revival
I Heard It Through the Grapevine,Creedence Clearwater Revival
Lookin' Out MY Back Door,Creedence Clearwater Revival
Proud Mary,Creedence Clearwater Revival
Run Through the Jungle,Creedence Clearwater Revival
Travelin' Band,Creedence Clearwater Revival
Up Around the Bend,Creedence Clearwater Revival
Who'll Stop the Rain,Creedence Clearwater Revival
Nightmare,Crooked X
Karma Chameleon,Culture Club
Girls Just Want to Have Fun,Cyndi Lauper
Time After Time,Cyndi Lauper
Get Lucky,Daft Punk
Thug Love,Dance For The Dying
Prisoner,Dance Gavin Dance
Wagon Wheel,Darius Rucker
V-Bomb,Dark Wheels
Crawling Back to You,Daughtry
Crash into Me,Dave Matthews Band
Mercy,Dave Matthews Band
Blue Jean,David Bowie
Fame,David Bowie
Heroes,David Bowie
Let's Dance,David Bowie
Modern Love,David Bowie
Moonage Daydream,David Bowie
Rebel Rebel,David Bowie
Space Oddity,David Bowie
Suffragette City,David Bowie
Young Americans,David Bowie
You Should Be Dancing,Dee Gees
Breakfast at Tiffany's,Deep Blue Something
Highway Star,Deep Purple
Smoke on the Water,Deep Purple
Animal (Live),Def Leppard
Bringin' On the Heartbreak,Def Leppard
Foolin',Def Leppard
Photograph,Def Leppard
Pour Some Sugar on Me (Live),Def Leppard
Rock of Ages,Def Leppard
Undefeated,Def Leppard
My Own Summer (Shove It),Deftones
Roll to Me,Del Amitri
Enjoy the Silence,Depeche Mode
Never Let Me Down Again,Depeche Mode
Personal Jesus,Depeche Mode
Policy of Truth,Depeche Mode
Whip It,Devo
Come On Eileen,Dexys Midnight Runners
Holy Diver,Dio
Rainbow in the Dark,Dio
Walk of Life,Dire Straits
Down with the Sickness,Disturbed
Indestructible,Disturbed
Inside the Fire,Disturbed
Prayer,Disturbed
Stricken,Disturbed
Stupify,Disturbed
The Sound of Silence,Disturbed
The Vengeful One,Disturbed
Voices,Disturbed
Cake By The Ocean,DNCE
Jolene,Dolly Parton
I Hear the Dead,Dolly Spartans
American Pie,Don McLean
King George,Dover
Through the Fire and Flames,DragonForce
Metropolis Part I: The Miracle and the Sleeper,Dream Theater
I'm Shipping Up to Boston,Dropkick Murphys
Bodies,Drowning Pool
Don't Start Now,Dua Lipa
Knock Em Down,Duck & Cover
Two Shots,Duck & Cover
Girls on Film,Duran Duran
Hungry Like the Wolf,Duran Duran
RudeBoys,Dutch ReBelle
Save Tonight,Eagle-Eye Cherry
September,"Earth, Wind & Fire"
The Killing Moon,Echo & The Bunnymen
Albert,Eddie Japan
Gay Bar,Electric Six
On My Mind,Ellie Goulding
Crocodile Rock,Elton John
Goodbye Yellow Brick Road,Elton John
I'm Still Standing,Elton John
Saturday Night's Alright for Fighting,Elton John
The Bitch Is Back,Elton John
Cold Heart (PNAU Remix),Elton John - Dua Lipa
Radio Radio,Elvis Costello
Suspicious Minds,Elvis Presley
Lady Gaga's Poker Face (South Park Version),Eric Cartman
The Flood,Escape the Fate
The Final Countdown,Europe
Bring Me to Life,Evanescence
Call Me When You're Sober,Evanescence
Everybody's Fool,Evanescence
Going Under,Evanescence
Lithium,Evanescence
Weight of the World,Evanescence
What You Want,Evanescence
Santa Monica,Everclear
Real Wild Child,Everlife
More Than Words,Extreme
Epic,Faith No More
Midlife Crisis,Faith No More
We Care a Lot,Faith No More
"A Little Less Sixteen Candles, a Little More ""Touch Me""",Fall Out Boy
Centuries,Fall Out Boy
"Dance, Dance",Fall Out Boy
Dead on Arrival,Fall Out Boy
I Don't Care,Fall Out Boy
I Wanna Dance with Somebody (Who Loves Me),Fall Out Boy
Irresistible,Fall Out Boy
Love From the Other Side,Fall Out Boy
My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy
"Sugar, We're Goin Down",Fall Out Boy
"This Ain't a Scene, It's an Arms Race",Fall Out Boy
Thnks fr th Mmrs,Fall Out Boy
Uma Thurman,Fall Out Boy
Popular Monster,Falling in Reverse
Voices In My Head,Falling in Reverse
"Hey Man, Nice Shot",Filter
Paralyzer,Finger Eleven
A Little Bit Off,Five Finger Death Punch
Wrong Side of Heaven,Five Finger Death Punch
Dreams,Fleetwood Mac
You Make Loving Fun,Fleetwood Mac
Business Time,Flight of the Conchords
Demon Woman,Flight of the Conchords
The Most Beautiful Girl in the Room,Flight of the Conchords
Druken Lullabies (Live),Flogging Molly
Dog Days Are Over,Florence + the Machine
Vinyl,Fly By Midnight
I'm So Sick,Flyleaf
Slow Ride,Foghat
All My Life,Foo Fighters
Best of You,Foo Fighters
Breakout,Foo Fighters
DOA,Foo Fighters
Doll,Foo Fighters
Everlong,Foo Fighters
"Hey, Johnny Park!",Foo Fighters
Learn to Fly,Foo Fighters
Making a Fire,Foo Fighters
Monkey Wrench,Foo Fighters
My Hero,Foo Fighters
My Poor Brain,Foo Fighters
New Way Home,Foo Fighters
Run,Foo Fighters
Something from Nothing,Foo Fighters
Stacked Actors,Foo Fighters
The Feast and the Famine,Foo Fighters
The Pretender,Foo Fighters
These Days,Foo Fighters
Times Like These,Foo Fighters
Up in Arms,Foo Fighters
Walk,Foo Fighters
Walking After You,Foo Fighters
Wheels,Foo Fighters
Wind Up,Foo Fighters
Word Forward,Foo Fighters
Cold as Ice,Foreigner
I Want To Know What Love Is,Foreigner
Juke Box Hero,Foreigner
Don't Stop (Color on the Walls),Foster the People
Helena Beat,Foster the People
Pumped Up Kicks,Foster the People
Stacy's Mom,Fountains of Wayne
I Still Believe,Frank Turner
Take Me Out,Franz Ferdinand
Doppelgänger,Freezepop
Hemorrhage (In My Hands),Fuel
Shimmer ,Fuel
Some Nights,fun.
We Are Young,fun. feat. Janelle Monáe
I Think I'm Paranoid,Garbage
Ain’t Messin ‘Round,"Gary Clark, Jr."
I Don't Want to Be,Gavin DeGraw
abcdefu,GAYLE
Who Do You Love?,George Thorogood and The Destroyers
Cirice,Ghost
Mary On A Cross,Ghost
Rats,Ghost
Follow You Down,Gin Blossoms
Found Out About You,Gin Blossoms
Hey Jealousy,Gin Blossoms
Still Alive,GLaDOS
Bethany,Goddamn Draculas
Awake,Godsmack
I Stand Alone,Godsmack
When Legends Rise,Godsmack
Radar Love,Golden Earring
Superman,Goldfinger
Iris,Goo Goo Dolls
Slide,Goo Goo Dolls
Girls & Boys,Good Charlotte
Lifestyles of the Rich and Famous,Good Charlotte
The Anthem,Good Charlotte
Clint Eastwood,Gorillaz
Feel Good Inc.,Gorillaz
Cheat On The Curch,Graveyard BBQ
"Once Bitten, Twice Shy",Great White
¡Viva la Gloria!,Green Day
21 Guns,Green Day
21st Century Breakdown,Green Day
American Idiot,Green Day
Are We the Waiting / St. Jimmy,Green Day
Basket Case,Green Day
Boulevard of Broken Dreams,Green Day
Brain Stew / Jaded,Green Day
Burnout,Green Day
Christian's Inferno,Green Day
Chump,Green Day
Coming Clean,Green Day
East Jesus Nowhere,Green Day
Emenius Sleepus,Green Day
Extraordinary Girl,Green Day
F.O.D.,Green Day
Father of All…,Green Day
Geek Stink Breath,Green Day
Give Me Novacaine / She's a Rebel,Green Day
Good Riddance (Time Of Your Life),Green Day
Having a Blast,Green Day
Hitchin' A Ride,Green Day
Holiday,Green Day
Homecoming,Green Day
Horseshoes and Handgrenades,Green Day
In the End,Green Day
Jesus of Suburbia,Green Day
Know Your Enemy,Green Day
Last Night on Earth,Green Day
Last of the American Girls,Green Day
Letterbomb,Green Day
Longview,Green Day
Minority,Green Day
Murder City,Green Day
Oh Love,Green Day
Peacemaker,Green Day
Pulling Teeth,Green Day
Sassafras Roots,Green Day
She,Green Day
Still Breathing,Green Day
The Static Age,Green Day
Viva la Gloria? (Little Girl),Green Day
Wake Me Up When September Ends,Green Day
Warning,Green Day
Welcome to Paradise,Green Day
Whatsername,Green Day
When I Come Around,Green Day
Head Above,Greta Van Fleet
Light My Love,Greta Van Fleet
"My Way, Soon",Greta Van Fleet
When the Curtain Falls,Greta Van Fleet
Sickness,Grey Daze
Tongue Tied,Grouplove
End of the World,Gulfer
Better,Guns N' Roses
Catcher in the Rye,Guns N' Roses
Chinese Democracy ,Guns N' Roses
Madagascar,Guns N' Roses
Prostitute,Guns N' Roses
Riad N' the Bedouins,Guns N' Roses
Street of Dreams,Guns N' Roses
There Was a Time,Guns N' Roses
This I Love,Guns N' Roses
Stereo Hearts,Gym Class Heroes (ft. Adam Levine)
I Miss the Misery,Halestorm
I Can't Go for That (No Can Do),Hall & Oates
Maneater,Hall & Oates
Private Eyes,Hall & Oates
Rich Girl,Hall & Oates
You Make My Dreams,Hall & Oates
Cat's In the Cradle,Harry Chapin
Adore You,Harry Styles
Golden,Harry Styles
Flagpole Sitta,Harvey Danger
Simmer,Hayley Williams
Alone,Heart
Barracuda,Heart
Crazy On You,Heart
Kick It Out,Heart
I Am Electric,Heaven's Basement
Killing Loneliness,HIM
Ode to Solitude,HIM
Wings of a Butterfly,HIM
Lips of an Angel,Hinder
Celebrity Skin,Hole
City of the Dead,Hollywood Undead
Soy Bomb,Honest Bob and the Factory to Dealer Incentives
The Reason,Hoobastank
Let Her Cry,Hootie & The Blowfish
Only Wanna Be With You,Hootie & The Blowfish
Shake Me Up,Hounds
Take Me to Church,Hozier
Do You Believe in Love,Huey Lewis and the News
I Want a New Drug,Huey Lewis and the News
The Heart of Rock & Roll,Huey Lewis and the News
The Power of Love,Huey Lewis and the News
Shy,Hunny
Viva la Resistance,Hypernova
She's Got Sorccery,I Fight Dragons
Bad Things,I Prevail
Oh My God,Ida Maria
The Passenger,Iggy Pop
I Bet My Life,Imagine Dragons
Bloodhands (Oh My Fever),In the Valley Below
Forever,In This Moment
Dig,Incubus
Wish You Were Here,Incubus
Anything Was Better,Interrupters
Need You Tonight,INXS
"Flightless Bird, American Mouth",Iron & Wine
In-A-Gadda-Da-Vida,Iron Butterfly
The Wicker Man,Iron Maiden
Lazaretto,Jack White
ABC,Jackson 5
I Want You Back,Jackson 5
I Got You (I Feel Good) (Alternative Version),James Brown
Canned Heat,Jamiroquai
Been Caught Stealing,Jane's Addiction
Had a Dad,Jane's Addiction
Idiots Rule,Jane's Addiction
Jane Says,Jane's Addiction
Ocean Size,Jane's Addiction
Pigs in Zen,Jane's Addiction
Standing in the Shower... Thinking,Jane's Addiction
Summertime Rolls,Jane's Addiction
"Ted, Just Admit It...",Jane's Addiction
Thank You Boys,Jane's Addiction
Up the Beach,Jane's Addiction
Me and Bobby McGee,Janis Joplin
Recession,Jeff Allen ft. Noelle LeBlanc and Naoko Takamoto
This Will Be the Day,Jeff Williams feat. Casey Lee Williams
Somebody to Love,Jefferson Airplane
Jane,Jefferson Starship
Are You Gonna Be My Girl,Jet
Cheeseburger in Paradise,Jimmy Buffett
Margaritaville,Jimmy Buffett
Volcano,Jimmy Buffett
All The Way (Stay),Jimmy Eat World
Bleed American,Jimmy Eat World
Futures,Jimmy Eat World
My Best Theory,Jimmy Eat World
Pain,Jimmy Eat World
Sweetness,Jimmy Eat World
The Middle,Jimmy Eat World
I Hate Myself For Loving You,Joan Jett & The Blackhearts
I Love Rock N' Roll,Joan Jett & The Blackhearts
Shame,Jocelyn & Chris Arndt
You're the Best,"Joe ""Bean"" Esposito"
Happy Xmas (War Is Over),"John & Yoko, The Plastic Ono Band"
"Take Me Home, Country Roads",John Denver
Crippled Inside,John Lennon
Gimme Some Truth,John Lennon
How Do You Sleep?,John Lennon
How?,John Lennon
I Don't Wanna Be a Soldier Mama,John Lennon
Imagine,John Lennon
It's So Hard,John Lennon
Jealous Guy,John Lennon
Oh My Love,John Lennon
Oh Yoko!,John Lennon
Cold Clear Light,Johnny Blazes and the Pretty Boys
Folsom Prison Blues,Johnny Cash
I Walk the Line,Johnny Cash
Code Monkey,Jonathan Coulton
Re: Your Brains,Jonathan Coulton
Skullcrusher Mountain,Jonathan Coulton
Still Alive,Jonathan Coulton ft. Sara Quin
Would You Go With Me,Josh Turner
Don't Stop Believing,Journey
Me Enamora,Juanes
Over My Head,Judah & The Lion
(Take These) Chains,Judas Priest
Bloodstone,Judas Priest
Devil's Child,Judas Priest
Fever,Judas Priest
Halls of Valhalla,Judas Priest
Pain And Pleasure,Judas Priest
Riding on the Wind,Judas Priest
Screaming For Vengeance,Judas Priest
The Hellion/Electric Eye,Judas Priest
You've Got Another Thing Comin',Judas Priest
Half Crazy,Jukebox the Ghost
Hurry Up (& Wait for You),Julie Rhodes
I Predict a Riot,Kaiser Chiefs
Ruby,Kaiser Chiefs
Carry On Wayward Son,Kansas
Point of Know Return (Live),Kansas
Walking on Sunshine,Katrina & the Waves
Stronger (What Doesn't Kill You),Kelly Clarkson
Devil On My Shoulder,Kelsy Karter
Danger Zone,Kenny Loggins
Footloose,Kenny Loggins
The Gambler,Kenny Rogers
estella//,Kennyhoopla ft. Travis Barker
Sex on Fire,Kings of Leon
Use Somebody,Kings of Leon
"100,000 Years (Live)",Kiss
Calling Dr. Love,Kiss
Detroit Rock City,Kiss
Deuce (Live),Kiss
Parasite (Live),Kiss
Rock and Roll All Nite (Live),Kiss
Strutter (Live),Kiss
Jungle Boogie,Kool & the Gang
Falling Away From Me,Korn
Freak on a Leash,Korn
Word Up!,Korn
Suddenly I See,KT Tunstall
Buletproof,La Roux
Monster,Lady Gaga
Paparazzi,Lady Gaga
Redneck,Lamb of God
Steal My Sunshine,Len
Are You Gonna Go My Way,Lenny Kravitz
Younger Lungs,Less Than Jake
Hanging by a Moment,Lifehouse
Dream Genie,Lightning Bolt
Build a Bridge,Limp Bizkit
Gold Cobra,Limp Bizkit
My Way,Limp Bizkit
Nookie,Limp Bizkit
Re-Arranged,Limp Bizkit
Rollin' (Air Raid Vehicle),Limp Bizkit
Breaking the Habit,Linkin Park
Burn It Down,Linkin Park
Crawling,Linkin Park
Given Up,Linkin Park
In The End,Linkin Park
Lying from You,Linkin Park
More The Victim,Linkin Park
New Divide,Linkin Park
Numb,Linkin Park
One Step Closer,Linkin Park
Rebellion (ft. Daron Malakian),Linkin Park
Shadow of the Day,Linkin Park
