Song,Artist
Somewhere I Belong,Linkin Park
Waiting for the End,Linkin Park
What I've Done,Linkin Park
My Own Worst Enemy,Lit
Kiss Me Deadly ,Lita Ford
Little White Church,Little Big Town
Casablanca,Littlefoot
All Over You,Live
Cult of Personality,Living Colour
Juice,Lizzo
When Am I Gonna Lose You,Local Natives
Brandy (You're a Fine Girl),Looking Glass
Rooftops (A Liberation Broadcast),Lostprophets
Turn it Around,Lucius
Free Bird,Lynyrd Skynyrd
Gimme Three Steps,Lynyrd Skynyrd
Saturday Night Special,Lynyrd Skynyrd
Simple Man,Lynyrd Skynyrd
Sweet Home Alabama (Live),Lynyrd Skynyrd
That Smell,Lynyrd Skynyrd
Tuesday's Gone,Lynyrd Skynyrd
What's Your Name?,Lynyrd Skynyrd
bloody valentine,Machine Gun Kelly
My Ex's Best Friend,Machine Gun Kelly & blackbear
I Think I'm Okay,"Machine Gun Kelly, YUNGBLUD & Travis Barker"
Can't Hold Us,Macklemore & Ryan Lewis
Rude,Magic!
Addison Rae,Magnolia Park
Oye Mi Amor,Maná
The Beautiful People,Marilyn Manson
Uptown Funk,Mark Ronson ft. Bruno Mars
Girls Like You,Maroon 5
Misery,Maroon 5
One More Night,Maroon 5
This Love,Maroon 5
Wake Up Call,Maroon 5
Won't Go Home Without You,Maroon 5
Moves Like Jagger,Maroon 5 feat. Christina Aguilera
3AM,Matchbox Twenty
Bent,Matchbox Twenty
How Far We've Come,Matchbox Twenty
Push,Matchbox Twenty
She's So Mean,Matchbox Twenty
Unwell,Matchbox Twenty
Kids of Summer,Mayday Parade
Paradise by the Dashboard Light,Meat Loaf
Peace Sells,Megadeth
Down Under,Men at Work
Overkill,Men at Work
Combat Baby,Metric
Kids,MGMT
Cross That Line,Michael Christmas
All You Wanted,Michelle Branch
I Melt With You,Modern English
Flirtin' with Disaster,Molly Hatchet
Girl Scout Cookies,Mom Jeans
Don't Go Away Mad (Just Go Away),Mötley Crüe
Down at the Whisky,Mötley Crüe
Dr. Feelgood,Mötley Crüe
Face Down in the Dirt,Mötley Crüe
Kickstart My Heart,Mötley Crüe
Rattlesnake Shake,Mötley Crüe
Saints of Los Angeles,Mötley Crüe
Same Ol' Situation (S.O.S.),Mötley Crüe
She Goes Down,Mötley Crüe
Slice of Your Pie,Mötley Crüe
Sticky Sweet,Mötley Crüe
Time for Change,Mötley Crüe
Without You,Mötley Crüe
Mississippi Queen,Mountain
Happy?,Mudvayne
Blind Leading The Blind,Mumford & Sons
I Will Wait,Mumford & Sons
The Wolf,Mumford & Sons
Hysteria,Muse
Knights of Cydonia ,Muse
Starlight,Muse
Won't Back Down,Muse
Famous Last Words,My Chemical Romance
Helena,My Chemical Romance
I'm Not Okay (I Promise),My Chemical Romance
Sing,My Chemical Romance
Teenagers,My Chemical Romance
The Foundations of Decay,My Chemical Romance
Welcome to the Black Parade,My Chemical Romance
Unwritten,Natasha Bedingfield
Black Streak,Nemes
1983,Neon Trees
Animal,Neon Trees
Everybody Talks,Neon Trees
Sins of My Youth,Neon Trees
Used To Like,Neon Trees
All Downhill from Here,New Found Glory
Greatest of All Time,New Found Glory
Iris,New Found Glory
My Friends Over You,New Found Glory
Don't Let Her Go,Newfane
I Recognize,Newfane
How You Remind Me,Nickelback
Photograph,Nickelback
The Devil Went Down to Georgia,Nickelback
Sister Christian,Night Ranger
Who's Your Lover,Nightmare Air
Absolutely (Story of a Girl),Nine Days
Capital G,Nine Inch Nails
Head Like a Hole,Nine Inch Nails
March of the Pigs,Nine Inch Nails
Terrible Lie,Nine Inch Nails
The Collector,Nine Inch Nails
The Hand That Feeds,Nine Inch Nails
About a Girl,Nirvana
All Apologies,Nirvana
Blew,Nirvana
Breed,Nirvana
Come As You Are (Live from MTV Unplugged),Nirvana
Heart-Shaped Box,Nirvana
In Bloom,Nirvana
Lithium (Live at Reading),Nirvana
Lounge Act,Nirvana
Rape Me,Nirvana
School,Nirvana
Smells Like Teen Spirit,Nirvana
Something In The Way,Nirvana
Stay Away,Nirvana
Territorial Pissings,Nirvana
The Man Who Sold the World (Live),Nirvana
You Know You're Right,Nirvana
Bathwater,No Doubt
Don't Speak,No Doubt
Hella Good,No Doubt
Just a Girl,No Doubt
Spiderwebs,No Doubt
Radio,No Small Children
Alive and Kicking,Nonpoint
Bullet with a Name,Nonpoint
Miracle,Nonpoint
Champagne Supernova,Oasis
Don't Look Back in Anger,Oasis
Live Forever,Oasis
Rock 'n' Roll Star,Oasis
Supersonic (Live),Oasis
Wonderwall,Oasis
Alligator,Of Monsters And Men
Little Talks,Of Monsters and Men
Here It Goes Again,OK Go
Time Bomb (Live),Old 97's
Like No Surprise,Oldsoul
Physical,Olivia Newton-John
Brutal,Olivia Rodrigo
good 4 u,Olivia Rodrigo
Best Song Ever,One Direction
Drag Me Down,One Direction
Never Enough,One Direction
Story of My Life,One Direction
What Makes You Beautiful,One Direction
The Title Track,Origami Angel
Time For Crime,ORION
Astronaut in the Ocean,Our Last Night
Hey Ya!,Outkast
Bark at the Moon,Ozzy Osbourne
Crazy Train,Ozzy Osbourne
Diary of a Madman,Ozzy Osbourne
Flying High Again,Ozzy Osbourne
I Don't Know,Ozzy Osbourne
"Mama, I'm Coming Home",Ozzy Osbourne
Miracle Man,Ozzy Osbourne
Mr. Crowley,Ozzy Osbourne
Over the Mountain,Ozzy Osbourne
Steal Away (The Night),Ozzy Osbourne
Raise Your Glass,P!nk
So What,P!nk
Alive,P.O.D.
Boom,P.O.D.
High Hopes,Panic! at the Disco
I Write Sins Not Tragedies,Panic! at the Disco
Nine in the Afternoon,Panic! at the Disco
Forever,Papa Roach
Last Resort,Papa Roach
Time Is Running Out,Papa Roach
Brick by Boring Brick,Paramore
Crushcrushcrush,Paramore
Hard Times,Paramore
Ignorance,Paramore
Misery Business,Paramore
Pressure,Paramore
Still Into You,Paramore
That's What You Get,Paramore
The Only Exception,Paramore
This Is Why,Paramore
Sweater Weather,Parks
Never Let 'Em Hold Ya Back!,Parlour Bells
True Confessional,Party Bois
Heartbreaker,Pat Benatar
We Belong,Pat Benatar
Band on the Run (Live),Paul McCartney
Jet (Live),Paul McCartney
Maybe I'm Amazed,Paul McCartney
Sing the Changes (Live),Paul McCartney
Band on the Run,Paul McCartney & Wings
Helen Wheels,Paul McCartney & Wings
Let Me Roll It,Paul McCartney & Wings
Alive (Live: Drop in the Park),Pearl Jam
Black,Pearl Jam
Brother,Pearl Jam
Even Flow,Pearl Jam
Garden,Pearl Jam
Jeremy,Pearl Jam
State of Love and Trust (Live: Drop in the Park),Pearl Jam
The Fixer,Pearl Jam
Killing Is Just a Means ,Permaband
Wrecking Machine ,Permaband
Let My Love Open the Door,Pete Townshend
Do You Feel Like We Do (Live),Peter Frampton
Show Me the Way (Live),Peter Frampton
Mean Girls,Petty Morals
Happy,Pharrell Williams
Llama,Phish
Wilson,Phish
Lasso,Phoenix
Circles,Pierce the Veil
King for a Day (ft. Kellin Quinn),Pierce the Veil
Pass the Nirvana,Pierce the Veil
Debaser,Pixies
Here Comes Your Man,Pixies
Hey,Pixies
Wave of Mutilation,Pixies
Where Is My Mind?,Pixies
Every Rose Has Its Thorn,Poison
Antibodies,Poni Hoax
Feel It Still,Portugal. The Man
Love That Hurts,PREACHERVAN
"Something Bigger, Something Brighter",Pretty Girls Make Graves
Jerry Was a Race Car Driver,Primus
Cosmic Thrill Seeking Forever,Prince Daddy & The Hyena
Bring tha Noise,Public Enemy (Featuring Anthrax)
Blurry,Puddle of Mudd
She Hates Me,Puddle of Mudd
Matilda,Pup
Another One Bites the Dust,Queen
Bohemian Rhapsody,Queen
Crazy Little Thing Called Love,Queen
Death on Two Legs (Dedicated To...),Queen
Don't Stop Me Now,Queen
Fat Bottomed Girls,Queen
Hammer to Fall,Queen
I Want It All,Queen
I Want to Break Free,Queen
Keep Yourself Alive,Queen
Killer Queen,Queen
One Vision,Queen
Play the Game,Queen
Seven Seas of Rhye,Queen
Somebody to Love,Queen
Stone Cold Crazy,Queen
Tenement Funster,Queen
The Show Must Go On,Queen
Tie Your Mother Down,Queen
Under Pressure,Queen
We Are the Champions,Queen
We Will Rock You,Queen
You're My Best Friend,Queen
3's & 7's,Queens of the Stone Age
Go with the Flow,Queens of the Stone Age
In My Head,Queens of the Stone Age
Little Sister,Queens of the Stone Age
My God Is the Sun,Queens of the Stone Age
No One Knows,Queens of the Stone Age
"Sick, Sick, Sick",Queens of the Stone Age
The Way You Used to Do,Queens of the Stone Age
Bang Your Head (Metal Health),Quiet Riot
Driver 8,R.E.M.
It's the End of the World as We Know It,R.E.M.
Living Well Is the Best Revenge,R.E.M.
Losing My Religion,R.E.M.
Man on the Moon,R.E.M.
Orange Crush,R.E.M.
Radio Free Europe,R.E.M.
Stand,R.E.M.
Superman,R.E.M.
The One I Love,R.E.M.
These Days,R.E.M.
"What's the Frequency, Kenneth?",R.E.M.
Run With You,Radio Compass
Creep,Radiohead
Karma Police,Radiohead
My Iron Lung,Radiohead
Bulls on Parade,Rage Against the Machine
Killing in the Name,Rage Against the Machine
Sleep Now in the Fire,Rage Against the Machine
Testify,Rage Against the Machine
Du Hast,Rammstein
Blitzkrieg Bop,Ramones
I Wanna Be Sedated,Ramones
Rock 'n' Roll High School,Ramones
Ruby Soho,Rancid
Life Is a Highway,Rascal Flatts
"Black Earth, WI",Rat Boys
Masquerader,Ravi Shavi
Ghostbusters,Ray Parker Jr.
Stumble and Fall,Razorlight
By the Way,Red Hot Chili Peppers
Californication,Red Hot Chili Peppers
Dani California,Red Hot Chili Peppers
Give It Away,Red Hot Chili Peppers
Otherside,Red Hot Chili Peppers
Scar Tissue,Red Hot Chili Peppers
Snow ((Hey Oh)),Red Hot Chili Peppers
Under the Bridge,Red Hot Chili Peppers
Black Summer,Red Hot Chilli Peppers
Face Down,Red Jumpsuit Apparatus
Come and Get Your Love,Redbone
Sell Out,Reel Big Fish
Take On Me,Reel Big Fish
Keep On Loving You,REO Speedwagon
Riding the Storm Out,REO Speedwagon
Roll with the Changes,REO Speedwagon
Take It on the Run,REO Speedwagon
Never Gonna Give You Up,Rick Astley
"Rock and Roll, Hoochie Koo",Rick Derringer
Jessie's Girl,Rick Springfield
Portions for Foxes,Rilo Kiley
Audience of One,Rise Against
Help Is on the Way,Rise Against
Nowhere Generation,Rise Against
Prayer of the Refugee,Rise Against
Re-Education (Through Labor),Rise Against
Satellite,Rise Against
Savior,Rise Against
The Good Left Undone,Rise Against
Don't Bury Me... I'm Still Not Dead,Riverboat Gamblers
Burn,Rob Zombie
Dragula,Rob Zombie
Living Dead Girl,Rob Zombie
Superbeast,Rob Zombie
War Zone,Rob Zombie
Time Warp,Rocky Horror Picture Show Soundtrack
The Look,Roxette
Figure It Out,Royal Blood
Pain Killer,Ruby Rose Fox
Skydiver,Ruby Rose Fox
Escape (The Piña Colada Song),Rupert Holmes
A Passage to Bangkok,Rush
Limelight,Rush
Tom Sawyer,Rush
YYZ,Rush
Send Me on My Way,Rusted Root
Smooth,Santana (ft. Rob Thomas)
Bury Me (Tonight),Save Face
Alive With The Glory Of Love,Say Anything
The Warrior,Scandal
No One Like You (2011 Re-record),Scorpions
Rock You Like a Hurricane,Scorpions
Country Song,Seether
Fake It,Seether
Remedy,Seether
Rise Above This,Seether
Broken,Seether feat. Amy Lee
Closing Time,Semisonic
Lady in a Blue Dress,Senses Fail
Empty Walls,Serj Tankian
Sky Is Over,Serj Tankian
Man! I Feel Like A Woman!,Shania Twain
That Don't Impress Me Much,Shania Twain
Soak Up the Sun,Sheryl Crow
Bully,Shinedown
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown
Junkies for Fame,Shinedown
Second Chance,Shinedown
The Crow and the Butterfly,Shinedown
Let's Just Dance,Ships Have Sailed
Fall Apart,Shocked Laura
Chandelier,Sia
Burning Hearts,Silverstein
The Sounds of Silence,Simon & Garfunkel
Don't You (Forget About Me),Simple Minds
Addicted,Simple Plan
Welome To My Life,Simple Plan
Where I Belong,Simple Plan & State Champs
Hong Kong Garden,Siouxsie and The Banshees
All for You,Sister Hazel
We Are Family,Sister Sledge
Life Is Beautiful,Sixx:A.M.
18 and Life,Skid Row
I Remember You,Skid Row
The Gang's All Here,Skid Row
Feel Invincible,Skillet
S.O.M.P.,Skratch'n Snyf
The Summoning,Sleep Token
Before I Forget,Slipknot
Dead Memories,Slipknot
Duality,Slipknot
Left Behind,Slipknot
Psychosocial,Slipknot
Pulse of the Maggots,Slipknot
Snuff,Slipknot
Sulfur,Slipknot
The Devil in I,Slipknot
Unsainted,Slipknot
Wait and Bleed,Slipknot
Light the Fuse,Slydigs
All-Star,Smash Mouth
Walking on the Sun,Smash Mouth
Cherub Rock,Smashing Pumpkins
Bad Luck,Social Distortion
Ring of Fire,Social Distortion
Story of my Life,Social Distortion
Dead Black (Heart of Ice),Soul Remnants
Black Hole Sun,Soundgarden
Spoonman,Soundgarden
Superunknown,Soundgarden
The Day I Tried to Live,Soundgarden
In the Meantime,Spacehog
Little Miss Can't Be Wrong,Spin Doctors
Two Princes,Spin Doctors
Short and Sweet,Spinal Tap
To My Romeo,Spirit Kid
Birth in Reverse,St. Vincent
It's Been Awhile,Staind
Outside,Staind
So Far Away,Staind
This Is It,Staind
We Built This City,Starship
Pictures of Matchstick Men,Status Quo
Peg,Steely Dan
Reelin' In the Years,Steely Dan
Born to Be Wild,Steppenwolf
Make Me Smile (Come Up and See Me),Steve Harley & Cockney Rebel
Fly Like an Eagle,Steve Miller Band
The Joker,Steve Miller Band
Higher Ground,Stevie Wonder
I Wish,Stevie Wonder
Living For The City,Stevie Wonder
Sir Duke,Stevie Wonder
Superstition,Stevie Wonder
Good,STL GLD
Made of Scars,Stone Sour
Say You'll Haunt Me,Stone Sour
Song #3,Stone Sour
Through Glass,Stone Sour
Big Bang Baby,Stone Temple Pilots
Creep,Stone Temple Pilots
Interstate Love Song,Stone Temple Pilots
Plush,Stone Temple Pilots
Sex Type Thing,Stone Temple Pilots
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
Vasoline,Stone Temple Pilots
Santeria,Sublime
Every Morning,Sugar Ray
Memory,Sugarcult
Fat Lip,Sum 41
In Too Deep,Sum 41
Still Waiting,Sum 41
Seven,Sunny Day Real Estate
Grace,Supergrass
Freaks,Surf Curse
ily (i love you baby),Surf Mesa ft. Emilee
Ballroom Blitz,Sweet
Where the Heart Is,Sweet Pill
This Bastard's Life,Swingin' Utters
Float,Switchfoot
Meant to Live,Switchfoot
Exploited & Exposed,Symbion Project
Aerials,System of a Down
Chop Suey!,System of a Down
Hypnotize,System of a Down
Spiders,System of a Down
20th Century Boy,T. Rex
Ride a White Swan,T. Rex
A Decade Under the Influence,Taking Back Sunday
Cute Without The 'E' (Cut From the Team),Taking Back Sunday
Liar (It Takes One to Know One),Taking Back Sunday
MakeDamnSure,Taking Back Sunday
What's It Feel Like to Be a Ghost?,Taking Back Sunday
And She Was,Talking Heads
Burning Down the House,Talking Heads
Crosseyed and Painless,Talking Heads
Girlfriend Is Better,Talking Heads
Once in a Lifetime,Talking Heads
Take Me to the River,Talking Heads
Everybody Wants to Rule the World,Tears for Fears
Shout,Tears for Fears
The Con,Tegan and Sara
Master Exploder,Tenacious D
Rock Your Socks,Tenacious D
The Metal,Tenacious D
Tribute,Tenacious D
Girls Make Me Wanna Die,The Aces
Monster,The Automatic
Love Shack,The B-52's
Rock Lobster,The B-52's
The Weight (Live),The Band
Good Vibrations (Live),The Beach Boys
Forget About Tomorrow,The Bergamot
(You're) Breakin' Up,The Black Cheers
Fever,The Black Keys
Lonely Boy,The Black Keys
Wild Child,The Black Keys
Milwaukee,The Both
Gasoline,The Bouncing Souls
Ole!,The Bouncing Souls
Believe,The Bravery
False Alarm,The Bronx
Whever You Will Go,The Calling
Bye Bye Love,The Cars
Just What I Needed,The Cars
My Best Friend's Girl,The Cars
Something Just Like This,The Chainsmokers & Coldplay
Clampdown,The Clash
Complete Control,The Clash
Hateful,The Clash
I Fought the Law,The Clash
London Calling,The Clash
Rock the Casbah,The Clash
Rudie Can't Fail,The Clash
Should I Stay or Should I Go,The Clash
Spanish Bombs,The Clash
The Guns of Brixton,The Clash
Train in Vain (Stand by Me),The Clash
Dreaming of You,The Coral
Goo Goo Muck,The Cramps
Dreams,The Cranberries
Linger,The Cranberries
Ode to My Family,The Cranberries
Zombie,The Cranberries
Friday I'm In Love,The Cure
Just Like Heaven,The Cure
Lovesong,The Cure
I Believe in a Thing Called Love,The Darkness
Sacrifice,The Devil Wears Prada
Take It Off,The Donnas
China Grove,The Doobie Brothers
Listen to the Music,The Doobie Brothers
Long Train Runnin,The Doobie Brothers
Break on Through (To the Other Side),The Doors
"Hello, I Love You",The Doors
L.A. Woman,The Doors
Light My Fire,The Doors
Love Her Madly,The Doors
Love Me Two Times,The Doors
Peace Frog,The Doors
People Are Strange,The Doors
Riders on the Storm,The Doors
Roadhouse Blues,The Doors
Soul Kitchen,The Doors
The Crystal Ship,The Doors
Touch Me,The Doors
Free Ride,The Edgar Winter Group
Body Like That,The Eiffels
F.C.P.R.E.M.I.X.,The Fall of Troy
Yoshimi Battles the Pink Robots Pt. 1,The Flaming Lips
Chelsea Dagger,The Fratellis
Creepin' Up the Backstairs,The Fratellis
Flathead,The Fratellis
Henrietta,The Fratellis
S.O.S,The Glorious Sons
"Die, All Right!",The Hives
Main Offender,The Hives
Tick Tick Boom,The Hives
Shout,The Isley Brothers
Centerfold,The J. Geils Band
Love Stinks,The J. Geils Band
Crosstown Traffic,The Jimi Hendrix Experience
Fire,The Jimi Hendrix Experience
All These Things That I've Done,The Killers
Caution,The Killers
Mr. Brightside,The Killers
Smile Like You Mean It,The Killers
Somebody Told Me,The Killers
Spaceman,The Killers
When You Were Young,The Killers
My Sharona,The Knack
29 Fingers,The Konks
Naïve,The Kooks
How We'd Look On Paper,The Main Drag
The Impression That I Get,The Mighty Mighty Bosstones
Last Train to Clarksville,The Monkees
Time We Had,The Mother Hips
Outer Space,The Muffs
Sweater Weather,The Neighbourhood
Electric Version,The New Pornographers
A Lot Like Me,The Offspring
All I Want,The Offspring
Come Out and Play (Keep 'Em Separated),The Offspring
Days Go By,The Offspring
Gone Away,The Offspring
Hammerhead,The Offspring
Let the Bad Times Roll,The Offspring
Pretty Fly (For a White Guy),The Offspring
Self Esteem,The Offspring
The Kids Aren't Alright,The Offspring
You're Gonna Go Far Kid,The Offspring
Your Love,The Outfield
Green Grass and High Tides,The Outlaws
Can't Stand Losing You,The Police
Don't Stand So Close to Me,The Police
Every Breath You Take,The Police
Every Little Thing She Does Is Magic,The Police
Message in a Bottle,The Police
Next to You,The Police
Roxanne,The Police
So Lonely,The Police
Synchronicity II,The Police
Truth Hits Everybody,The Police
Walking on the Moon,The Police
Feather Pluck'n,"The Presidents of the
United States of America"
Blue Christmas,The Pretenders
Crash,The Primitives
I'm Gonna Be (500 Miles),The Proclaimers
Light Up the Night,The Protomen
Many Shades of Black,The Raconteurs
Salute Your Solution,The Raconteurs
"Steady, As She Goes",The Raconteurs
Last Dance,The Raveonettes
Hour of Rats,The Red Chord
I'll Be There for You (Friends Theme Song),The Remembrandts
Kids Don't Follow,The Replacements
Gimme Shelter,The Rolling Stones
What I Like About You,The Romantics
Australia,The Shins
New Slang,The Shins
Stop Me If You Think You've Heard This One Before,The Smiths
This Charming Man,The Smiths
Living in America,The Sounds
Bad Decisions,The Strokes
Reptilia,The Strokes
Under Cover of Darkness,The Strokes
Body Talks,The Struts
Chelsea,The Summer Set
Wild Thing,The Troggs
Novocaine,The Unlikely Candidates
Blood on My Hands,The Used
Born to Quit,The Used
The Bird and the Worm,The Used
The Taste of Ink,The Used
Turning Japanese,The Vapors
Get Free,The Vines
C'mon C'mon,The Von Bondies
Free Falling,The Warning
Survive,The Warning
"Closer, Closer",The Warning Shots
Blinding Lights,The Weeknd
Dead Leaves and the Dirty Ground,The White Stripes
Fell in Love with a Girl,The White Stripes
Icky Thump,The White Stripes
Seven Nation Army,The White Stripes
The Hardest Button to Button,The White Stripes
You Don't Know What Love Is (You Just Do as You're Told),The White Stripes
Baba O'Riley,The Who
Behind Blue Eyes,The Who
I Can See for Miles,The Who
My Generation (Live at Leeds),The Who
The Seeker,The Who
The Who Super Bowl S-mashup,The Who
Who Are You,The Who
Won't Get Fooled Again,The Who
Oldest Daughter,The Wonder Years
Valerie,The Zutons
Dead End Friends,Them Crooked Vultures
New Fang,Them Crooked Vultures
Yomp,Thenewno2
History of Violence,Theory of a Deadman
The Boys Are Back In Town (Live),Thin Lizzy
Jumper,Third Eye Blind
Never Let You Go,Third Eye Blind
Semi-Charmed Life,Third Eye Blind
Fire It Up,Thousand Foot Krutch
Image of the Invisible,Thrice
Alone Time,Tigerman WOAH
Pistol Whipped,Tijuana Sweetheart
Save Yourself,tiLLie
Timmy and the Lords of the Underworld,"Timmy and the Lords
of the Underworld"
Medicine,Tiny Moving Parts
Stevie Sees,Toad and the Stooligans
Possum Kingdom,Toadies
Humanoid,Tokio Hotel
Free Fallin',Tom Petty
I Won't Back Down,Tom Petty
Runnin' Down a Dream,Tom Petty
American Girl (Live),Tom Petty and the Heartbreakers
Breakdown (Live),Tom Petty and the Heartbreakers
Here Comes My Girl (Live),Tom Petty and the Heartbreakers
I Need to Know,Tom Petty and the Heartbreakers
Learning To Fly,Tom Petty and the Heartbreakers
Mary Jane's Last Dance (Live),Tom Petty and the Heartbreakers
Refugee (Live),Tom Petty and the Heartbreakers
867-5309/Jenny,Tommy Tutone
Africa,Toto
Hold the Line,Toto
Rosanna,Toto
Drops of Jupiter,Train
Who's Going Home with You Tonight?,Trapt
Wasted Again,Turbonegro
Heathens,Twenty One Pilots
Level of Concern,Twenty One Pilots
Ride,Twenty One Pilots
Stressed Out,Twenty One Pilots
California (There Is No End to Love),U2
Cedarwood Road,U2
Desire,U2
I Will Follow,U2
One,U2
Pride (In the Name of Love),U2
Sunday Bloody Sunday,U2
The Miracle (Of Joey Ramone),U2
Vertigo,U2
Where the Streets Have No Name,U2
Writing on the Walls,Underoath
A-Punk,Vampire Weekend
Harmony Hall,Vampire Weekend
Hot for Teacher,Van Halen
Panama,Van Halen
Brown Eyed Girl,Van Morrison
Circles,Varials
Everything You Want,Vertical Horizon
Blister in the Sun,Violent Femmes
A Warrior's Call,Volbeat
Different Colors,Walk the Moon
Shut Up and Dance,Walk the Moon
Pictures of Girls,Wallows
Low Rider,WAR
Cherry Pie,Warrant
Werewolves of London,Warren Zevon
Check Yes Juliet,We the Kings
Spin,We the Kings
(If You're Wondering If I Want You To) I Want You To,Weezer
Africa,Weezer
All My Favorite Songs,Weezer
Back to the Shack,Weezer
Beverly Hills,Weezer
Buddy Holly,Weezer
Dope Nose,Weezer
Dreamin',Weezer
El Scorcho,Weezer
Hash Pipe,Weezer
Island in the Sun,Weezer
King of the World,Weezer
Let It All Hang Out,Weezer
My Name Is Jonas,Weezer
Perfect Situation,Weezer
Pork and Beans,Weezer
Say It Ain't So,Weezer
Thank God for Girls,Weezer
The End of the Game,Weezer
The Greatest Man That Ever Lived,Weezer
Troublemaker,Weezer
Undone - The Sweater Song,Weezer
Teenage Dirtbag (2020),Wheatus
Constant Disaster,When Particles Collide
At Night in Dreams,White Denim
Might Be Right,White Reaper
More Human Than Human,White Zombie
Super-Charger Heaven,White Zombie
Thunder Kiss '65,White Zombie
Here I Go Again,Whitesnake
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Play That Funky Music,Wild Cherry
Joker & the Thief,Wolfmother
New Moon Rising,Wolfmother
Pilgrim,Wolfmother
Sundial,Wolfmother
White Unicorn,Wolfmother
Woman,Wolfmother
Black Corridor,Worshipper
Renegades,X Ambassadors
Maps,Yeah Yeah Yeahs
Ocean Avenue,Yellowcard
Only One,Yellowcard
Owner of a Lonely Heart,Yes
Roundabout,Yes
My Body,Young The Giant
Superposition,Young The Giant
Chicken Fried,Zac Brown Band
Homegrown,Zac Brown Band
The Wind,Zac Brown Band